Station Name,Charging Time (min)_Weekday_Day,Charging Time (min)_Weekday_Night,Charging Time (min)_Weekend_Day,Charging Time (min)_Weekend_Night,Energy (kWh)_Weekday_Day,Energy (kWh)_Weekday_Night,Energy (kWh)_Weekend_Day,Energy (kWh)_Weekend_Night,Occupied Time (min)_Weekday_Day,Occupied Time (min)_Weekday_Night,Occupied Time (min)_Weekend_Day,Occupied Time (min)_Weekend_Night
PALO ALTO CA / BRYANT # 1,4044.7999999999997,5270.066666666667,28.1,531.0,393.53300832970433,495.9781759329458,2.83,40.71670167123149,10200.266666666666,6720.95,28.283333333333335,531.9166666666666
PALO ALTO CA / BRYANT #1,1517254.5166666666,2480606.8666666667,397129.85,724318.95,85769.47290924365,146990.0179595698,22972.00264121587,46447.37246631574,2090035.65,2774746.033333333,640817.15,933374.15
PALO ALTO CA / BRYANT #2,1605357.8166666667,2585630.8333333335,495508.65,790169.4833333333,91170.03327655328,155200.9014656889,29579.45183349791,48833.765245357994,2442484.6666666665,3099279.683333333,904381.6333333333,1129965.5666666667
PALO ALTO CA / BRYANT #3,364306.4166666667,861562.45,121729.26666666666,241831.4,24373.31454626997,61984.198113620434,8087.87272286697,17460.64725151239,497502.75,958570.2,204893.66666666666,305225.4
PALO ALTO CA / BRYANT #4,164267.68333333332,830710.7,45887.88333333333,187388.01666666666,12258.981531367735,67534.1562162132,3542.3185388302227,14807.930828941557,191037.41666666666,906133.4833333333,65074.71666666667,206757.5
PALO ALTO CA / BRYANT #5,212196.6,1069603.4833333334,82995.43333333333,292519.0833333333,17186.007799691433,81406.00802596578,6242.153165635304,23588.723856702847,245593.41666666666,1170226.4333333333,107472.43333333333,319321.43333333335
PALO ALTO CA / BRYANT #6,398448.1,1213480.2833333334,65842.48333333334,314471.65,30340.080522991928,86918.46772850574,5887.859631594292,25042.323558695098,454983.18333333335,1367021.7833333334,83859.23333333334,351466.8333333333
PALO ALTO CA / CAMBRIDGE #1,883819.55,1833093.4833333334,265940.43333333335,524910.0833333334,52740.40830456098,117175.97591598386,17809.322084657077,35367.182661231855,1376907.5,2258591.283333333,493107.7,739802.4166666666
PALO ALTO CA / CAMBRIDGE #2,788266.2166666667,1694311.6666666667,150064.15,381621.9666666667,46150.68991584452,100938.64449616297,9747.031774078969,24797.21896649741,1248546.1833333333,2106084.816666667,357783.13333333336,590307.7166666667
PALO ALTO CA / CAMBRIDGE #3,195098.7,663138.1166666667,40983.9,164502.8,12404.996992198396,48493.69734533032,3473.5531311903487,12851.843095343027,206522.01666666666,737242.5,44794.21666666667,180163.1
PALO ALTO CA / CAMBRIDGE #4,87403.68333333333,537896.8333333334,28270.0,122174.85,6879.037187011796,42510.770099476176,2342.723304967524,9552.945017538907,135638.91666666666,619249.7833333333,32616.033333333333,135196.76666666666
