Station Name,Charging Time (min)_0,Charging Time (min)_1,Charging Time (min)_2,Charging Time (min)_3,Charging Time (min)_4,Charging Time (min)_5,Charging Time (min)_6,Occupied Time (min)_0,Occupied Time (min)_1,Occupied Time (min)_2,Occupied Time (min)_3,Occupied Time (min)_4,Occupied Time (min)_5,Occupied Time (min)_6
PALO ALTO CA / BRYANT # 1,18.616666666666667,456.3833333333333,2326.95,6483.25,29.666666666666668,38.0,521.1,18.933333333333334,459.18333333333334,2364.5666666666666,14047.183333333334,31.35,38.0,522.2
PALO ALTO CA / BRYANT #1,718716.85,831237.1,809087.6666666666,875509.1333333333,763310.6333333333,598846.4833333333,522602.31666666665,899836.0166666667,991837.8166666667,977031.0166666667,1074342.75,921734.0833333334,851537.25,722654.05
PALO ALTO CA / BRYANT #2,809431.1,839720.8833333333,861422.0666666667,837701.8833333333,842712.7166666667,702617.95,583060.1833333333,1114580.6333333333,1092279.8833333333,1134464.9,1081587.15,1118851.7833333334,1065317.3166666667,969029.8833333333
PALO ALTO CA / BRYANT #3,221455.98333333334,240577.45,241229.7,262060.4,260545.33333333334,189903.11666666667,173657.55,262959.85,275818.4,284893.0333333333,305934.65,326467.01666666666,275768.26666666666,234350.8
PALO ALTO CA / BRYANT #4,192236.98333333334,198590.46666666667,197086.2,209860.28333333333,197204.45,132070.21666666667,101205.68333333333,206602.98333333334,234747.48333333334,218210.38333333333,223781.0,213829.05,154708.26666666666,117123.95
PALO ALTO CA / BRYANT #5,210434.61666666667,248216.71666666667,256541.78333333333,286841.73333333334,279765.23333333334,189304.05,186210.46666666667,228965.03333333333,281626.5833333333,280808.25,317645.5333333333,306774.45,208249.61666666667,218544.25
PALO ALTO CA / BRYANT #6,287357.65,295120.7166666667,333935.73333333334,345816.7,349697.5833333333,207747.53333333333,172566.6,312072.2,320814.8333333333,384891.1,407382.31666666665,396844.51666666666,233739.73333333334,201586.33333333334
PALO ALTO CA / CAMBRIDGE #1,481510.61666666664,546425.7666666667,562473.7666666667,571745.4333333333,554757.45,409764.5,381086.01666666666,794832.1166666667,840375.75,644910.85,668471.5333333333,686908.5333333333,610977.4666666667,621932.65
PALO ALTO CA / CAMBRIDGE #2,430975.85,485352.2833333333,515345.18333333335,520445.6666666667,530458.9,290165.6,241520.51666666666,737696.8666666667,745062.0,599178.35,601127.7333333333,671566.05,468246.4,479844.45
PALO ALTO CA / CAMBRIDGE #3,132722.45,165897.6,186455.71666666667,178177.78333333333,194983.26666666666,90844.36666666667,114642.33333333333,143788.38333333333,186398.81666666668,201988.06666666668,199109.73333333334,212479.51666666666,100136.45,124820.86666666667
